,USDINR,USDINR_Return,Oil_Return,Gold_Return,Inflation_Differential,Interest_Rate_Differential,FPI_Flow,Trade_Balance,FX_Reserves_Change,VIX,Broad_USD_Return,GPR
2025-03,85.4625,-2.370395706340389,2.1093264466276906,8.891398287434527,0.9549399580771167,2.3766999999999996,3845.0,-21692.67,24207.0,22.28,-1.23379920172475,169.57495264853202
2025-04,84.495,-1.138532222512545,-16.897774751971895,5.151881216507803,0.8347617429612431,2.1940999999999997,-2335.0,-27097.53,13638.0,24.7,-3.30186962920207,140.21009852091473
2025-05,85.5813,1.2774440323571667,1.6186414524026027,0.01641846411981618,0.4463896608791318,1.8876,3636.0,-21880.54,3704.0,18.57,-0.6749916669523515,165.29575680148216
2025-06,85.7525,0.19984388016567323,5.489552808637654,0.4213955956554827,-0.577404444248808,2.096,-904.0,-18772.5,6455.0,16.73,-1.9559767477095313,218.08895924886068
2025-07,87.6,2.1315757802330637,6.788065022729928,-0.40072432651783174,-1.1364004355868262,2.0,-634.0,-27349.24,-8743.0,16.72,1.9178640486556375,132.33791880453788
2025-08,88.2063,0.6897391090929794,-6.2729413580833615,4.691356358102539,-0.8660528829279812,2.3396,-2338.0,-26487.24,1919.0,15.36,-1.2506301163559108,137.1778472162062
2025-09,88.7888,0.6582126884153716,-1.6279773485322835,11.26178655859178,-1.5807590203466892,2.4267000000000003,-1412.0,-32144.68,-5349.0,16.28,-0.05941459327249987,124.56628850301107
2025-10,88.7725,-0.018359856619376558,-2.952746880227153,3.662637767736321,-2.604571268912581,2.4545000000000003,4031.0,-41686.39,-14590.0,17.44,1.0343633429287458,152.1093230708953
2025-11,89.4563,0.7673320531437433,-2.91593123540812,5.740473144505387,-1.9839757231097321,2.4928,320.0,-24532.49,-6802.0,16.35,-0.2748738936727335,103.57268129984537
2025-12,89.8763,0.46840425880025904,-3.7892481719275395,1.8680732043424797,-1.3227002251002373,2.4210000000000003,-4287.0,-25045.56,-4892.0,14.95,-1.0856495567087343,130.54047529159052
